Einkaufspreis;Kanal;Datum;Jahr;Quartal;Monat;Wochentag;Anzahl Bestellungen;Wareneinsatz;Anzahl Artikelstück;Anzahl Bundle;Nettoumsatz;RE1;RE2
 0- 5€;teufel-shop;2018-01-05;2018;2018-01-01;2018-01-01;4;26.52;372.09;169.0;0.0;1057.53;688.81;267.64
 5-10€;teufel-shop;2018-01-05;2018;2018-01-01;2018-01-01;4;27.24;740.03;133.0;0.0;1286.64;553.2;322.87
 > 50€;teufel-shop;2018-01-05;2018;2018-01-01;2018-01-01;4;24.83;3368.18;56.0;0.0;4426.93;1192.74;648.06
10-25€;teufel-shop;2018-01-05;2018;2018-01-01;2018-01-01;4;47.25;1742.56;161.0;0.0;2707.71;1040.81;530.35
25-50€;teufel-shop;2018-01-05;2018;2018-01-01;2018-01-01;4;31.18;2511.83;105.0;0.0;3594.93;1131.54;643.03
 0- 5€;teufel-ebay;2018-01-05;2018;2018-01-01;2018-01-01;4;15.0;22.22;48.0;0.0;97.39;75.17;25.57
 5-10€;teufel-ebay;2018-01-05;2018;2018-01-01;2018-01-01;4;5.0;39.5;5.0;0.0;89.97;50.47;19.87
 > 50€;teufel-ebay;2018-01-05;2018;2018-01-01;2018-01-01;4;7.0;629.47;8.0;1.0;853.86;252.97;39.75
10-25€;teufel-ebay;2018-01-05;2018;2018-01-01;2018-01-01;4;16.0;366.17;19.0;5.0;692.45;326.28;121.96
25-50€;teufel-ebay;2018-01-05;2018;2018-01-01;2018-01-01;4;21.0;784.01;46.0;4.0;1393.15;632.34;275.08
 > 50€;teufel-daparto;2018-01-05;2018;2018-01-01;2018-01-01;4;4.0;248.5;4.0;0.0;305.19;108.93;-13.42
10-25€;teufel-daparto;2018-01-05;2018;2018-01-01;2018-01-01;4;2.0;27.42;2.0;0.0;56.32;28.9;15.4
25-50€;teufel-daparto;2018-01-05;2018;2018-01-01;2018-01-01;4;3.0;71.84;3.0;0.0;105.13;45.3;4.78
 0- 5€;partsrunner-shop;2018-01-05;2018;2018-01-01;2018-01-01;4;5.9;31.67;34.0;0.0;187.83;158.89;62.86
 5-10€;partsrunner-shop;2018-01-05;2018;2018-01-01;2018-01-01;4;5.02;108.28;24.0;0.0;198.77;96.5;47.67
 > 50€;partsrunner-shop;2018-01-05;2018;2018-01-01;2018-01-01;4;5.75;543.53;16.0;0.0;741.56;211.83;123.22
10-25€;partsrunner-shop;2018-01-05;2018;2018-01-01;2018-01-01;4;9.22;297.2;48.0;0.0;460.68;186.85;89.47
25-50€;partsrunner-shop;2018-01-05;2018;2018-01-01;2018-01-01;4;5.17;448.38;18.0;0.0;629.65;194.07;93.34
 0- 5€;partsrunner-ebay;2018-01-05;2018;2018-01-01;2018-01-01;4;15.5;21.97;44.0;0.0;122.16;100.19;27.56
 5-10€;partsrunner-ebay;2018-01-05;2018;2018-01-01;2018-01-01;4;6.5;57.19;8.0;1.0;135.81;81.44;29.82
 > 50€;partsrunner-ebay;2018-01-05;2018;2018-01-01;2018-01-01;4;12.5;768.57;14.0;0.0;1119.65;405.9;101.37
10-25€;partsrunner-ebay;2018-01-05;2018;2018-01-01;2018-01-01;4;15.0;225.94;17.0;1.0;391.56;181.19;45.59
25-50€;partsrunner-ebay;2018-01-05;2018;2018-01-01;2018-01-01;4;25.5;1192.0;32.0;7.0;1867.27;683.1;235.74
 5-10€;partsrunner-daparto;2018-01-05;2018;2018-01-01;2018-01-01;4;0.5;7.22;1.0;0.0;14.55;7.33;3.74
10-25€;partsrunner-daparto;2018-01-05;2018;2018-01-01;2018-01-01;4;1.0;24.78;1.0;0.0;40.36;15.58;6.51
25-50€;partsrunner-daparto;2018-01-05;2018;2018-01-01;2018-01-01;4;4.5;120.24;6.0;0.0;189.08;76.43;25.52
 0- 5€;teufel-tyre24;2018-01-05;2018;2018-01-01;2018-01-01;4;0.0;0.0;0.0;0.0;29.75;29.75;0.0
 > 50€;teufel-tyre24;2018-01-05;2018;2018-01-01;2018-01-01;4;6.0;780.12;6.0;0.0;1040.93;260.81;89.46
10-25€;teufel-tyre24;2018-01-05;2018;2018-01-01;2018-01-01;4;1.0;-2.25;1.0;0.0;17.57;24.2;15.41
25-50€;teufel-tyre24;2018-01-05;2018;2018-01-01;2018-01-01;4;3.0;64.41;3.0;0.0;122.09;70.9;39.34
10-25€;partsrunner-tyre24;2018-01-05;2018;2018-01-01;2018-01-01;4;1.0;36.88;2.0;0.0;61.81;24.93;13.94
25-50€;partsrunner-tyre24;2018-01-05;2018;2018-01-01;2018-01-01;4;1.0;25.31;1.0;0.0;43.35;18.04;9.73
 0- 5€;teufel-shop;2018-01-06;2018;2018-01-01;2018-01-01;5;23.02;261.31;145.0;0.0;686.55;429.02;196.96
 5-10€;teufel-shop;2018-01-06;2018;2018-01-01;2018-01-01;5;19.41;395.17;77.0;0.0;721.83;338.3;197.55
 > 50€;teufel-shop;2018-01-06;2018;2018-01-01;2018-01-01;5;9.59;1110.88;21.0;0.0;1481.47;415.66;228.4
10-25€;teufel-shop;2018-01-06;2018;2018-01-01;2018-01-01;5;32.63;1279.74;117.0;0.0;1973.35;718.64;414.79
25-50€;teufel-shop;2018-01-06;2018;2018-01-01;2018-01-01;5;16.27;1576.42;68.0;0.0;2134.9;645.84;346.83
 0- 5€;teufel-ebay;2018-01-06;2018;2018-01-01;2018-01-01;5;10.0;17.65;27.0;0.0;59.57;41.92;16.65
 5-10€;teufel-ebay;2018-01-06;2018;2018-01-01;2018-01-01;5;5.0;34.53;5.0;0.0;79.66;45.13;8.83
 > 50€;teufel-ebay;2018-01-06;2018;2018-01-01;2018-01-01;5;7.0;444.01;7.0;0.0;612.69;185.75;39.05
10-25€;teufel-ebay;2018-01-06;2018;2018-01-01;2018-01-01;5;9.0;239.48;11.0;3.0;437.57;198.09;79.07
25-50€;teufel-ebay;2018-01-06;2018;2018-01-01;2018-01-01;5;7.0;267.51;8.0;2.0;416.9;157.33;48.95
 5-10€;teufel-daparto;2018-01-06;2018;2018-01-01;2018-01-01;5;0.33;6.59;1.0;0.0;14.67;8.08;3.95
 > 50€;teufel-daparto;2018-01-06;2018;2018-01-01;2018-01-01;5;2.0;216.98;2.0;0.0;280.55;63.57;9.93
10-25€;teufel-daparto;2018-01-06;2018;2018-01-01;2018-01-01;5;1.33;29.73;2.0;0.0;53.56;23.83;11.13
25-50€;teufel-daparto;2018-01-06;2018;2018-01-01;2018-01-01;5;1.33;72.6;3.0;0.0;111.81;39.21;16.59
 0- 5€;partsrunner-shop;2018-01-06;2018;2018-01-01;2018-01-01;5;6.08;55.15;21.0;0.0;222.22;168.34;44.8
 5-10€;partsrunner-shop;2018-01-06;2018;2018-01-01;2018-01-01;5;3.59;83.49;35.0;0.0;150.7;67.21;44.48
 > 50€;partsrunner-shop;2018-01-06;2018;2018-01-01;2018-01-01;5;4.25;336.45;11.0;0.0;482.2;145.75;91.29
10-25€;partsrunner-shop;2018-01-06;2018;2018-01-01;2018-01-01;5;7.05;204.88;16.0;0.0;322.48;120.35;70.84
25-50€;partsrunner-shop;2018-01-06;2018;2018-01-01;2018-01-01;5;4.99;164.43;10.0;0.0;258.0;107.14;54.58
 0- 5€;partsrunner-ebay;2018-01-06;2018;2018-01-01;2018-01-01;5;15.0;5.77;58.0;0.0;22.62;16.85;4.47
 5-10€;partsrunner-ebay;2018-01-06;2018;2018-01-01;2018-01-01;5;2.0;18.18;2.0;1.0;45.38;27.2;10.35
 > 50€;partsrunner-ebay;2018-01-06;2018;2018-01-01;2018-01-01;5;7.0;860.12;12.0;2.0;1262.68;419.8;140.27
10-25€;partsrunner-ebay;2018-01-06;2018;2018-01-01;2018-01-01;5;22.0;376.4;25.0;4.0;685.69;320.54;93.36
25-50€;partsrunner-ebay;2018-01-06;2018;2018-01-01;2018-01-01;5;14.0;690.84;15.0;6.0;1110.2;419.36;155.04
10-25€;partsrunner-daparto;2018-01-06;2018;2018-01-01;2018-01-01;5;2.0;14.64;2.0;0.0;24.09;14.8;-7.66
25-50€;partsrunner-daparto;2018-01-06;2018;2018-01-01;2018-01-01;5;2.0;81.2;3.0;0.0;123.68;42.48;-27.47
25-50€;teufel-tyre24;2018-01-06;2018;2018-01-01;2018-01-01;5;2.0;127.86;3.0;0.0;173.91;46.05;13.36
 0- 5€;teufel-shop;2018-01-07;2018;2018-01-01;2018-01-01;6;41.23;485.58;228.0;0.0;1243.53;757.95;329.98
 5-10€;teufel-shop;2018-01-07;2018;2018-01-01;2018-01-01;6;28.61;783.93;162.0;0.0;1359.87;584.11;354.16
 > 50€;teufel-shop;2018-01-07;2018;2018-01-01;2018-01-01;6;15.81;1774.44;48.0;0.0;2358.13;648.2;339.88
10-25€;teufel-shop;2018-01-07;2018;2018-01-01;2018-01-01;6;43.64;2130.91;231.0;0.0;3354.64;1246.31;762.8
25-50€;teufel-shop;2018-01-07;2018;2018-01-01;2018-01-01;6;29.8;2682.31;108.0;0.0;3685.81;1036.96;607.59
 0- 5€;teufel-ebay;2018-01-07;2018;2018-01-01;2018-01-01;6;12.0;5.88;44.0;0.0;51.75;45.87;3.85
 5-10€;teufel-ebay;2018-01-07;2018;2018-01-01;2018-01-01;6;9.0;85.14;9.0;3.0;219.08;133.94;45.72
 > 50€;teufel-ebay;2018-01-07;2018;2018-01-01;2018-01-01;6;11.0;790.31;13.0;0.0;1125.5;352.72;96.04
10-25€;teufel-ebay;2018-01-07;2018;2018-01-01;2018-01-01;6;18.5;328.01;32.0;4.0;677.7;369.1;150.81
25-50€;teufel-ebay;2018-01-07;2018;2018-01-01;2018-01-01;6;17.5;706.6;21.0;3.0;1121.76;427.59;152.61
10-25€;teufel-daparto;2018-01-07;2018;2018-01-01;2018-01-01;6;2.0;43.34;5.0;0.0;89.46;46.12;24.0
 0- 5€;partsrunner-shop;2018-01-07;2018;2018-01-01;2018-01-01;6;7.04;78.49;38.0;0.0;184.37;108.06;69.54
 5-10€;partsrunner-shop;2018-01-07;2018;2018-01-01;2018-01-01;6;8.81;218.99;38.0;0.0;387.52;173.34;103.61
 > 50€;partsrunner-shop;2018-01-07;2018;2018-01-01;2018-01-01;6;3.11;348.06;23.0;0.0;444.91;161.19;76.84
10-25€;partsrunner-shop;2018-01-07;2018;2018-01-01;2018-01-01;6;16.13;672.92;69.0;0.0;1068.02;405.34;259.81
25-50€;partsrunner-shop;2018-01-07;2018;2018-01-01;2018-01-01;6;7.94;869.48;38.0;0.0;1219.32;349.84;211.56
 0- 5€;partsrunner-ebay;2018-01-07;2018;2018-01-01;2018-01-01;6;21.99;33.64;57.0;0.0;142.21;108.57;46.07
 5-10€;partsrunner-ebay;2018-01-07;2018;2018-01-01;2018-01-01;6;8.25;69.35;9.0;0.0;158.2;88.85;36.69
 > 50€;partsrunner-ebay;2018-01-07;2018;2018-01-01;2018-01-01;6;10.25;856.65;14.0;1.0;1238.71;396.67;112.91
10-25€;partsrunner-ebay;2018-01-07;2018;2018-01-01;2018-01-01;6;20.5;439.99;25.0;5.0;795.73;355.74;133.25
25-50€;partsrunner-ebay;2018-01-07;2018;2018-01-01;2018-01-01;6;14.0;569.95;17.0;5.0;864.56;324.5;79.04
 > 50€;partsrunner-daparto;2018-01-07;2018;2018-01-01;2018-01-01;6;2.0;131.22;3.0;0.0;191.71;60.49;23.49
10-25€;partsrunner-daparto;2018-01-07;2018;2018-01-01;2018-01-01;6;1.0;-2.25;1.0;0.0;-5.7;2.25;-5.82
 > 50€;teufel-tyre24;2018-01-07;2018;2018-01-01;2018-01-01;6;3.0;296.72;9.0;0.0;415.79;119.07;50.82
 0- 5€;teufel-shop;2018-01-08;2018;2018-01-01;2018-01-01;0;40.86;481.42;224.0;0.0;1685.93;1213.45;551.09
 5-10€;teufel-shop;2018-01-08;2018;2018-01-01;2018-01-01;0;38.12;996.08;193.0;0.0;1729.72;751.72;441.31
 > 50€;teufel-shop;2018-01-08;2018;2018-01-01;2018-01-01;0;21.17;3040.71;76.0;0.0;4052.96;1126.2;642.6
10-25€;teufel-shop;2018-01-08;2018;2018-01-01;2018-01-01;0;57.46;2960.91;329.0;0.0;4549.97;1644.61;1001.35
25-50€;teufel-shop;2018-01-08;2018;2018-01-01;2018-01-01;0;29.3;2843.16;121.0;0.0;3938.85;1229.55;722.3
 0- 5€;teufel-ebay;2018-01-08;2018;2018-01-01;2018-01-01;0;19.0;22.62;70.0;0.0;103.91;81.29;36.85
 5-10€;teufel-ebay;2018-01-08;2018;2018-01-01;2018-01-01;0;7.0;66.39;8.0;2.0;155.99;92.49;27.4
 > 50€;teufel-ebay;2018-01-08;2018;2018-01-01;2018-01-01;0;16.0;1424.35;17.0;2.0;2055.77;639.66;205.48
10-25€;teufel-ebay;2018-01-08;2018;2018-01-01;2018-01-01;0;28.0;495.47;37.0;4.0;892.53;419.67;113.44
25-50€;teufel-ebay;2018-01-08;2018;2018-01-01;2018-01-01;0;20.0;797.09;21.0;4.0;1281.47;491.99;173.12
 > 50€;teufel-daparto;2018-01-08;2018;2018-01-01;2018-01-01;0;6.5;433.77;11.0;0.0;641.17;213.51;74.74
10-25€;teufel-daparto;2018-01-08;2018;2018-01-01;2018-01-01;0;1.5;38.75;2.0;0.0;65.97;27.22;12.56
25-50€;teufel-daparto;2018-01-08;2018;2018-01-01;2018-01-01;0;1.0;33.64;1.0;0.0;56.44;22.8;11.25
 0- 5€;partsrunner-shop;2018-01-08;2018;2018-01-01;2018-01-01;0;8.32;110.46;48.0;0.0;274.72;166.34;71.5
 5-10€;partsrunner-shop;2018-01-08;2018;2018-01-01;2018-01-01;0;7.83;264.29;45.0;0.0;448.71;184.42;112.15
 > 50€;partsrunner-shop;2018-01-08;2018;2018-01-01;2018-01-01;0;5.49;1088.1;34.0;0.0;1484.64;396.54;255.13
10-25€;partsrunner-shop;2018-01-08;2018;2018-01-01;2018-01-01;0;15.15;654.33;65.0;0.0;1027.69;377.38;239.08
25-50€;partsrunner-shop;2018-01-08;2018;2018-01-01;2018-01-01;0;13.06;1076.19;43.0;0.0;1489.0;439.36;242.16
 0- 5€;partsrunner-ebay;2018-01-08;2018;2018-01-01;2018-01-01;0;26.2;31.57;145.0;2.0;111.32;84.9;28.62
 5-10€;partsrunner-ebay;2018-01-08;2018;2018-01-01;2018-01-01;0;7.0;54.79;8.0;1.0;130.07;78.51;25.49
 > 50€;partsrunner-ebay;2018-01-08;2018;2018-01-01;2018-01-01;0;19.73;2323.87;33.0;4.0;3391.68;1067.81;395.23
10-25€;partsrunner-ebay;2018-01-08;2018;2018-01-01;2018-01-01;0;30.66;538.31;36.0;4.0;943.69;430.42;108.79
25-50€;partsrunner-ebay;2018-01-08;2018;2018-01-01;2018-01-01;0;26.4;1170.99;31.0;8.0;1805.83;654.21;197.67
 5-10€;partsrunner-daparto;2018-01-08;2018;2018-01-01;2018-01-01;0;1.5;17.17;2.0;0.0;38.86;21.69;4.27
10-25€;partsrunner-daparto;2018-01-08;2018;2018-01-01;2018-01-01;0;1.5;24.67;2.0;0.0;45.93;21.26;10.14
25-50€;partsrunner-daparto;2018-01-08;2018;2018-01-01;2018-01-01;0;6.0;207.94;7.0;0.0;319.69;111.75;41.71
 0- 5€;teufel-tyre24;2018-01-08;2018;2018-01-01;2018-01-01;0;0.0;0.0;0.0;0.0;59.5;59.5;0.0
 > 50€;teufel-tyre24;2018-01-08;2018;2018-01-01;2018-01-01;0;9.5;871.05;14.0;0.0;1164.08;293.03;96.21
10-25€;teufel-tyre24;2018-01-08;2018;2018-01-01;2018-01-01;0;1.0;17.85;1.0;0.0;32.35;14.5;7.79
25-50€;teufel-tyre24;2018-01-08;2018;2018-01-01;2018-01-01;0;2.5;113.65;4.0;0.0;172.49;58.84;28.3
 0- 5€;teufel-shop;2018-01-09;2018;2018-01-01;2018-01-01;1;36.27;440.7;207.0;0.0;1976.76;1542.04;308.9
 5-10€;teufel-shop;2018-01-09;2018;2018-01-01;2018-01-01;1;37.0;1040.29;199.0;0.0;1796.53;766.41;455.57
 > 50€;teufel-shop;2018-01-09;2018;2018-01-01;2018-01-01;1;19.53;2527.97;54.0;0.0;3247.1;896.59;436.97
10-25€;teufel-shop;2018-01-09;2018;2018-01-01;2018-01-01;1;69.89;3208.21;460.0;0.0;5072.24;1900.75;1186.59
25-50€;teufel-shop;2018-01-09;2018;2018-01-01;2018-01-01;1;43.29;3350.63;149.0;0.0;4720.07;1541.59;800.29
 0- 5€;teufel-ebay;2018-01-09;2018;2018-01-01;2018-01-01;1;23.0;4.58;104.0;0.0;22.07;17.49;7.69
 5-10€;teufel-ebay;2018-01-09;2018;2018-01-01;2018-01-01;1;4.0;61.94;4.0;4.0;148.3;86.36;36.64
 > 50€;teufel-ebay;2018-01-09;2018;2018-01-01;2018-01-01;1;16.0;1984.94;20.0;7.0;2675.44;726.09;135.98
10-25€;teufel-ebay;2018-01-09;2018;2018-01-01;2018-01-01;1;22.0;500.76;27.0;8.0;916.07;419.69;160.47
25-50€;teufel-ebay;2018-01-09;2018;2018-01-01;2018-01-01;1;18.0;655.78;19.0;4.0;1027.38;391.84;120.55
 0- 5€;teufel-daparto;2018-01-09;2018;2018-01-01;2018-01-01;1;1.0;4.73;1.0;0.0;15.03;10.3;5.79
 > 50€;teufel-daparto;2018-01-09;2018;2018-01-01;2018-01-01;1;4.0;342.61;6.0;0.0;502.58;159.97;45.7
10-25€;teufel-daparto;2018-01-09;2018;2018-01-01;2018-01-01;1;1.66;68.74;3.0;0.0;105.28;36.54;14.71
25-50€;teufel-daparto;2018-01-09;2018;2018-01-01;2018-01-01;1;2.33;100.64;7.0;0.0;163.72;63.08;27.87
 0- 5€;partsrunner-shop;2018-01-09;2018;2018-01-01;2018-01-01;1;10.84;128.39;51.0;0.0;339.82;211.43;96.0
 5-10€;partsrunner-shop;2018-01-09;2018;2018-01-01;2018-01-01;1;12.36;275.53;58.0;0.0;505.86;235.63;146.5
 > 50€;partsrunner-shop;2018-01-09;2018;2018-01-01;2018-01-01;1;8.11;1159.26;19.0;0.0;1549.72;425.32;249.68
10-25€;partsrunner-shop;2018-01-09;2018;2018-01-01;2018-01-01;1;21.29;887.95;78.0;0.0;1371.3;494.85;293.63
25-50€;partsrunner-shop;2018-01-09;2018;2018-01-01;2018-01-01;1;13.36;666.17;26.0;0.0;984.43;338.27;192.15
 0- 5€;partsrunner-ebay;2018-01-09;2018;2018-01-01;2018-01-01;1;23.0;24.88;83.0;0.0;101.02;76.14;32.47
 5-10€;partsrunner-ebay;2018-01-09;2018;2018-01-01;2018-01-01;1;7.5;78.84;8.0;2.0;173.26;94.42;35.88
 > 50€;partsrunner-ebay;2018-01-09;2018;2018-01-01;2018-01-01;1;12.5;857.03;13.0;1.0;1121.23;358.53;8.25
10-25€;partsrunner-ebay;2018-01-09;2018;2018-01-01;2018-01-01;1;21.0;505.48;24.0;6.0;878.26;372.78;108.94
25-50€;partsrunner-ebay;2018-01-09;2018;2018-01-01;2018-01-01;1;26.0;1106.64;32.0;7.0;1740.43;674.96;194.43
 0- 5€;partsrunner-daparto;2018-01-09;2018;2018-01-01;2018-01-01;1;1.0;3.81;1.0;0.0;12.44;8.63;4.32
 5-10€;partsrunner-daparto;2018-01-09;2018;2018-01-01;2018-01-01;1;3.16;32.34;5.0;0.0;68.42;36.08;15.63
 > 50€;partsrunner-daparto;2018-01-09;2018;2018-01-01;2018-01-01;1;3.33;137.53;7.0;0.0;135.05;9.92;-45.71
10-25€;partsrunner-daparto;2018-01-09;2018;2018-01-01;2018-01-01;1;2.66;53.46;4.0;0.0;93.69;40.23;14.13
25-50€;partsrunner-daparto;2018-01-09;2018;2018-01-01;2018-01-01;1;2.83;142.84;5.0;0.0;212.21;69.37;23.07
 0- 5€;teufel-tyre24;2018-01-09;2018;2018-01-01;2018-01-01;1;0.0;0.0;0.0;0.0;595.0;595.0;0.0
 > 50€;teufel-tyre24;2018-01-09;2018;2018-01-01;2018-01-01;1;13.0;2204.76;22.0;0.0;2920.08;794.03;263.5
10-25€;teufel-tyre24;2018-01-09;2018;2018-01-01;2018-01-01;1;0.5;16.33;1.0;0.0;27.13;10.8;5.85
25-50€;teufel-tyre24;2018-01-09;2018;2018-01-01;2018-01-01;1;3.5;225.77;5.0;0.0;324.2;98.43;43.32
 0- 5€;partsrunner-tyre24;2018-01-09;2018;2018-01-01;2018-01-01;1;0.0;0.0;0.0;0.0;273.7;273.7;0.0
 > 50€;partsrunner-tyre24;2018-01-09;2018;2018-01-01;2018-01-01;1;1.0;144.93;1.0;0.0;196.02;51.09;19.47
 0- 5€;teufel-shop;2018-01-10;2018;2018-01-01;2018-01-01;2;28.48;387.73;153.0;0.0;1381.87;994.64;293.35
 5-10€;teufel-shop;2018-01-10;2018;2018-01-01;2018-01-01;2;32.24;803.89;175.0;0.0;1429.29;640.94;388.31
 > 50€;teufel-shop;2018-01-10;2018;2018-01-01;2018-01-01;2;18.12;3038.41;56.0;0.0;4031.51;1117.97;599.67
10-25€;teufel-shop;2018-01-10;2018;2018-01-01;2018-01-01;2;51.11;2129.17;201.0;0.0;3244.5;1174.55;686.44
25-50€;teufel-shop;2018-01-10;2018;2018-01-01;2018-01-01;2;47.06;3620.08;151.0;0.0;5104.64;1595.18;916.08
 0- 5€;teufel-ebay;2018-01-10;2018;2018-01-01;2018-01-01;2;20.33;21.13;61.0;0.0;198.2;177.07;28.33
 5-10€;teufel-ebay;2018-01-10;2018;2018-01-01;2018-01-01;2;5.0;64.22;6.0;3.0;155.87;91.65;40.62
 > 50€;teufel-ebay;2018-01-10;2018;2018-01-01;2018-01-01;2;8.83;932.4;10.0;1.0;1296.0;431.38;68.56
10-25€;teufel-ebay;2018-01-10;2018;2018-01-01;2018-01-01;2;25.0;448.37;27.0;3.0;811.93;368.19;127.91
25-50€;teufel-ebay;2018-01-10;2018;2018-01-01;2018-01-01;2;17.83;1031.58;20.0;7.0;1644.9;613.32;230.72
 5-10€;teufel-daparto;2018-01-10;2018;2018-01-01;2018-01-01;2;3.0;22.77;3.0;0.0;57.1;34.33;16.26
 > 50€;teufel-daparto;2018-01-10;2018;2018-01-01;2018-01-01;2;5.0;408.83;8.0;0.0;547.1;155.46;29.29
10-25€;teufel-daparto;2018-01-10;2018;2018-01-01;2018-01-01;2;2.0;17.08;2.0;0.0;27.93;16.92;-5.09
25-50€;teufel-daparto;2018-01-10;2018;2018-01-01;2018-01-01;2;5.0;204.11;6.0;0.0;320.43;116.32;49.55
 0- 5€;partsrunner-shop;2018-01-10;2018;2018-01-01;2018-01-01;2;6.65;110.43;41.0;0.0;374.32;265.46;77.8
 5-10€;partsrunner-shop;2018-01-10;2018;2018-01-01;2018-01-01;2;7.07;166.21;30.0;0.0;289.35;129.92;79.48
 > 50€;partsrunner-shop;2018-01-10;2018;2018-01-01;2018-01-01;2;2.83;526.88;12.0;0.0;726.23;199.35;125.0
10-25€;partsrunner-shop;2018-01-10;2018;2018-01-01;2018-01-01;2;10.07;558.75;57.0;0.0;858.05;303.39;191.4
25-50€;partsrunner-shop;2018-01-10;2018;2018-01-01;2018-01-01;2;10.41;927.32;110.0;0.0;1383.38;469.53;288.12
 0- 5€;partsrunner-ebay;2018-01-10;2018;2018-01-01;2018-01-01;2;29.0;29.51;104.0;0.0;144.6;115.09;35.55
 5-10€;partsrunner-ebay;2018-01-10;2018;2018-01-01;2018-01-01;2;8.0;47.04;8.0;0.0;112.62;68.68;19.31
 > 50€;partsrunner-ebay;2018-01-10;2018;2018-01-01;2018-01-01;2;13.5;1189.91;17.0;2.0;1739.49;563.4;185.61
10-25€;partsrunner-ebay;2018-01-10;2018;2018-01-01;2018-01-01;2;20.0;479.3;24.0;10.0;862.7;397.63;114.54
25-50€;partsrunner-ebay;2018-01-10;2018;2018-01-01;2018-01-01;2;23.5;1149.31;32.0;7.0;1900.16;750.85;305.76
 5-10€;partsrunner-daparto;2018-01-10;2018;2018-01-01;2018-01-01;2;1.0;6.83;1.0;0.0;16.0;9.17;4.24
 > 50€;partsrunner-daparto;2018-01-10;2018;2018-01-01;2018-01-01;2;2.0;112.44;2.0;0.0;171.66;59.22;25.62
10-25€;partsrunner-daparto;2018-01-10;2018;2018-01-01;2018-01-01;2;4.0;34.89;4.0;0.0;52.81;31.6;-4.76
25-50€;partsrunner-daparto;2018-01-10;2018;2018-01-01;2018-01-01;2;2.0;63.35;3.0;0.0;106.76;43.41;20.85
 0- 5€;teufel-tyre24;2018-01-10;2018;2018-01-01;2018-01-01;2;0.5;4.72;2.0;0.0;15.82;11.1;7.32
 5-10€;teufel-tyre24;2018-01-10;2018;2018-01-01;2018-01-01;2;0.75;15.69;2.0;0.0;29.44;13.75;6.5
 > 50€;teufel-tyre24;2018-01-10;2018;2018-01-01;2018-01-01;2;5.08;481.17;7.0;0.0;640.47;159.3;44.97
10-25€;teufel-tyre24;2018-01-10;2018;2018-01-01;2018-01-01;2;2.91;82.87;5.0;0.0;139.31;56.44;28.74
25-50€;teufel-tyre24;2018-01-10;2018;2018-01-01;2018-01-01;2;4.75;242.21;13.0;0.0;390.02;147.81;77.69
 0- 5€;teufel-shop;2018-01-11;2018;2018-01-01;2018-01-01;3;32.28;358.88;156.0;0.0;1061.84;704.67;301.88
 5-10€;teufel-shop;2018-01-11;2018;2018-01-01;2018-01-01;3;27.11;602.44;128.0;0.0;1104.75;529.02;323.93
 > 50€;teufel-shop;2018-01-11;2018;2018-01-01;2018-01-01;3;20.61;2718.98;56.0;0.0;3539.91;885.31;443.7
10-25€;teufel-shop;2018-01-11;2018;2018-01-01;2018-01-01;3;54.57;2278.68;205.0;0.0;3456.03;1270.27;690.95
25-50€;teufel-shop;2018-01-11;2018;2018-01-01;2018-01-01;3;37.21;2699.34;112.0;0.0;3855.06;1256.74;725.5
 0- 5€;teufel-ebay;2018-01-11;2018;2018-01-01;2018-01-01;3;16.0;18.18;41.0;0.0;67.81;51.85;-3.19
 5-10€;teufel-ebay;2018-01-11;2018;2018-01-01;2018-01-01;3;7.0;54.98;7.0;1.0;125.93;74.34;24.82
 > 50€;teufel-ebay;2018-01-11;2018;2018-01-01;2018-01-01;3;8.0;260.63;12.0;0.0;199.57;154.1;-152.12
10-25€;teufel-ebay;2018-01-11;2018;2018-01-01;2018-01-01;3;25.0;344.59;27.0;6.0;648.55;349.58;67.4
25-50€;teufel-ebay;2018-01-11;2018;2018-01-01;2018-01-01;3;18.0;709.63;19.0;2.0;1122.04;420.41;141.31
 0- 5€;teufel-daparto;2018-01-11;2018;2018-01-01;2018-01-01;3;1.0;-2.25;1.0;0.0;-1.74;2.25;-2.28
 > 50€;teufel-daparto;2018-01-11;2018;2018-01-01;2018-01-01;3;3.0;302.5;4.0;0.0;407.57;105.07;26.86
25-50€;teufel-daparto;2018-01-11;2018;2018-01-01;2018-01-01;3;1.0;82.68;2.0;0.0;122.38;39.7;7.3
 0- 5€;partsrunner-shop;2018-01-11;2018;2018-01-01;2018-01-01;3;16.12;146.25;67.0;0.0;492.24;348.08;100.57
 5-10€;partsrunner-shop;2018-01-11;2018;2018-01-01;2018-01-01;3;11.07;255.19;42.0;0.0;444.65;189.46;113.88
 > 50€;partsrunner-shop;2018-01-11;2018;2018-01-01;2018-01-01;3;7.76;1974.56;70.0;0.0;2695.27;720.71;462.58
10-25€;partsrunner-shop;2018-01-11;2018;2018-01-01;2018-01-01;3;15.72;628.62;64.0;0.0;995.37;376.85;239.34
25-50€;partsrunner-shop;2018-01-11;2018;2018-01-01;2018-01-01;3;9.31;848.27;50.0;0.0;1245.96;431.62;268.61
 0- 5€;partsrunner-ebay;2018-01-11;2018;2018-01-01;2018-01-01;3;19.5;9.26;63.0;0.0;115.05;110.18;10.9
 5-10€;partsrunner-ebay;2018-01-11;2018;2018-01-01;2018-01-01;3;6.5;51.4;8.0;1.0;118.53;74.4;15.89
