Einkaufspreis;Kanal;Datum;Jahr;Quartal;Monat;Wochentag;Anzahl Bestellungen;Wareneinsatz;Anzahl Artikelstück;Anzahl Bundle;Nettoumsatz;RE1;RE2
 > 50€;partsrunner-ebay;2017-01-03;2017;2017-01-01;2017-01-01;1;12.5;1078.1;13.0;0.0;1230.41;173.03;-116.08
10-25€;partsrunner-ebay;2017-01-03;2017;2017-01-01;2017-01-01;1;10.0;182.11;10.0;0.0;288.84;106.73;26.48
25-50€;partsrunner-ebay;2017-01-03;2017;2017-01-01;2017-01-01;1;10.5;386.26;13.0;0.0;499.64;129.48;-15.71
 0- 5€;partsrunner-daparto;2017-01-03;2017;2017-01-01;2017-01-01;1;14.81;30.21;40.0;0.0;195.83;169.59;84.41
 5-10€;partsrunner-daparto;2017-01-03;2017;2017-01-01;2017-01-01;1;8.7;55.37;14.0;0.0;119.26;72.23;20.74
 > 50€;partsrunner-daparto;2017-01-03;2017;2017-01-01;2017-01-01;1;3.39;227.55;5.0;0.0;268.84;53.45;-20.71
10-25€;partsrunner-daparto;2017-01-03;2017;2017-01-01;2017-01-01;1;7.93;222.83;12.0;0.0;321.69;98.86;18.27
25-50€;partsrunner-daparto;2017-01-03;2017;2017-01-01;2017-01-01;1;9.17;396.6;15.0;0.0;521.69;125.09;0.25
 0- 5€;carmaster-ebay;2017-01-03;2017;2017-01-01;2017-01-01;1;9.0;17.54;9.0;0.0;91.59;74.05;37.05
 5-10€;carmaster-ebay;2017-01-03;2017;2017-01-01;2017-01-01;1;8.0;53.84;8.0;0.0;120.33;69.27;25.26
 > 50€;carmaster-ebay;2017-01-03;2017;2017-01-01;2017-01-01;1;11.0;926.78;14.0;0.0;1260.86;334.08;189.27
10-25€;carmaster-ebay;2017-01-03;2017;2017-01-01;2017-01-01;1;20.5;319.67;22.0;0.0;514.72;209.88;95.87
25-50€;carmaster-ebay;2017-01-03;2017;2017-01-01;2017-01-01;1;11.5;461.42;16.0;0.0;631.78;170.36;73.52
 5-10€;partsrunner-tyre24;2017-01-03;2017;2017-01-01;2017-01-01;1;1.0;7.61;1.0;0.0;16.37;8.76;4.22
 > 50€;partsrunner-tyre24;2017-01-03;2017;2017-01-01;2017-01-01;1;3.0;408.25;4.0;0.0;484.2;75.95;-22.82
25-50€;partsrunner-tyre24;2017-01-03;2017;2017-01-01;2017-01-01;1;1.0;36.1;5.0;0.0;57.7;21.6;11.06
 0- 5€;teufel-shop;2017-01-04;2017;2017-01-01;2017-01-01;2;72.3;190.87;403.0;0.0;2165.28;2003.57;1138.98
 5-10€;teufel-shop;2017-01-04;2017;2017-01-01;2017-01-01;2;32.04;690.75;133.0;0.0;1397.92;732.99;439.8
 > 50€;teufel-shop;2017-01-04;2017;2017-01-01;2017-01-01;2;43.67;6223.67;102.0;0.0;6939.05;872.03;-67.92
10-25€;teufel-shop;2017-01-04;2017;2017-01-01;2017-01-01;2;62.2;2369.91;231.0;0.0;3715.42;1407.91;786.34
25-50€;teufel-shop;2017-01-04;2017;2017-01-01;2017-01-01;2;48.77;3562.66;170.0;0.0;4549.27;1123.95;351.39
 0- 5€;teufel-ebay;2017-01-04;2017;2017-01-01;2017-01-01;2;128.5;157.3;147.0;0.0;1010.75;862.06;264.22
 5-10€;teufel-ebay;2017-01-04;2017;2017-01-01;2017-01-01;2;34.5;250.01;43.0;0.0;563.49;313.48;107.41
 > 50€;teufel-ebay;2017-01-04;2017;2017-01-01;2017-01-01;2;12.0;963.5;13.0;0.0;1187.97;224.47;-24.02
10-25€;teufel-ebay;2017-01-04;2017;2017-01-01;2017-01-01;2;17.5;267.73;23.0;0.0;464.02;196.29;53.16
25-50€;teufel-ebay;2017-01-04;2017;2017-01-01;2017-01-01;2;14.5;422.06;16.0;0.0;552.88;146.07;-20.43
 > 50€;teufel-daparto;2017-01-04;2017;2017-01-01;2017-01-01;2;5.5;243.66;6.0;0.0;247.04;43.79;-60.27
10-25€;teufel-daparto;2017-01-04;2017;2017-01-01;2017-01-01;2;2.0;30.49;2.0;0.0;52.94;22.45;9.53
25-50€;teufel-daparto;2017-01-04;2017;2017-01-01;2017-01-01;2;1.5;93.19;2.0;0.0;112.1;18.91;-4.85
 0- 5€;partsrunner-shop;2017-01-04;2017;2017-01-01;2017-01-01;2;32.73;-19.1;335.0;0.0;1144.37;1171.09;850.7
 5-10€;partsrunner-shop;2017-01-04;2017;2017-01-01;2017-01-01;2;12.61;191.02;55.0;0.0;399.76;227.73;144.31
 > 50€;partsrunner-shop;2017-01-04;2017;2017-01-01;2017-01-01;2;26.22;2834.98;76.0;0.0;3165.03;487.75;20.93
10-25€;partsrunner-shop;2017-01-04;2017;2017-01-01;2017-01-01;2;23.61;695.85;89.0;0.0;1099.8;418.02;224.97
25-50€;partsrunner-shop;2017-01-04;2017;2017-01-01;2017-01-01;2;15.75;707.45;58.0;0.0;931.57;294.2;91.42
 0- 5€;partsrunner-ebay;2017-01-04;2017;2017-01-01;2017-01-01;2;4.0;2.88;4.0;0.0;34.6;31.72;13.77
 5-10€;partsrunner-ebay;2017-01-04;2017;2017-01-01;2017-01-01;2;5.0;35.66;5.0;0.0;82.57;46.91;17.6
 > 50€;partsrunner-ebay;2017-01-04;2017;2017-01-01;2017-01-01;2;13.0;1174.59;19.0;0.0;1429.53;254.94;-54.83
10-25€;partsrunner-ebay;2017-01-04;2017;2017-01-01;2017-01-01;2;7.0;117.99;7.0;0.0;193.13;75.14;18.09
25-50€;partsrunner-ebay;2017-01-04;2017;2017-01-01;2017-01-01;2;8.0;307.64;8.0;0.0;396.26;88.62;-16.95
 0- 5€;partsrunner-daparto;2017-01-04;2017;2017-01-01;2017-01-01;2;15.26;-6.0;59.0;0.0;197.94;215.34;119.97
